"NPI","Provider Other Organization Name","Provider Other Organization Name Type Code"
"1003464132","Linton Square Pharmacy and Medical Supplies, Inc.","5"
"1033767165","Catherine R Jonas, MSW, LCSW","3"
"1093377731","Kaminska Dermatology","3"
"1164070298","Pearle Vision","3"
"1174015093","Crossroads Treatment Centers of Toms River","3"
"1295383347","Sapphire Smiles","3"
"1356999478","ADA Medical Billing Group","5"
"1417519570","Publix Pharmacy #1660","3"
"1437707551","Home Doctors Medical Associates, LLC","4"
"1447755814","Better Outlook","3"
"1447808589","sunbries","3"
"1578111613","Parker's Pharmacy","3"
"1578115226","DWDC","5"
"1629626767","core health and spine","3"
"1669936951","Trua Wound Care","3"
"1710534128","Ross Way Non-Emergency Transportation LLc","3"
"1750939872","S","3"
"1750939872","Salubris MD Mobile Healthcare","3"
"1790333839","Accel","3"
"1790333839","Accel Diagnostic Laboratories","3"
"1790948321","Donna Ratte', LCSW, LLC","3"
"1811545957","RELIABLE HOME HEALTH","3"
"1861965410","Familia Farmacia","3"
"1891041133","Springfield Pediatric Therapy, LLC","4"
"1942858071","Eyedeology Optometry","3"
"1952959074","Please Select","3"
"1962050096","AmeriPharma Infusion Center","3"
"1972093987","Youth Connect of VA","5"
"1033683842","Show Me Sleep","3"
"1134166812","Centreville Clinic","3"
"1144274622","FMCH Gloster Clinic","3"
"1144274622","Gloster Clinic","3"
"1144792383","Lifespan Pharmacy","3"
"1164499075","CKF Addiction Treatment","3"
"1174044697","Bradley County Medical Center Family Care Clinic","3"
"1174759500","The Sam L. Cohen Center","3"
"1205484359","BMA Cumberland County","3"
"1255989307","Wiregrass HME","3"
"1295961647","The Sam L. Cohen Center","3"
"1346293818","DUBUQUE VA CLINIC","5"
"1417901844","Glens Falls VA CBOC","5"
"1427606474","YB NK Ventures, Inc","3"
"1568452290","BAPTIST HEALTH","3"
"1568452290","Baptist Health Richmond","3"
"1568913994","BAPTIST HEALTH","3"
"1568913994","Baptist Health Richmond Professional Pharmacy","3"
"1588917736","Bradley County Medical Center Family Care Clinic","5"
"1639727951","Park Duvalle at Central Health Center","3"
"1679760151","Farmacia San Lazaro","3"
"1700434859","Theory Health and Wellness Clinic","3"
"1770520397","PIERRE VA CLINIC","5"
"1881648376","Catchings Clinic","3"
"1881648376","FMCH Catching's Clinic","3"
"1891167755","Think Different Pharmacy","3"
"1902802531","YORKVILLE PHARMACY","3"
"1003227729","Atlantic General RediScripts","3"
"1003227729","AGH RediScripts Pharmacy","5"
"1003369661","AltamonteMD","3"
"1033767017","Omni Family Medical SC","4"
"1043467103","Sandwick","3"
"1063060036","Challenger Point","3"
"1063462976","Prairie Family Medicine and Obstetrics","3"
"1063649242","El Cerrito Dialysis","3"
"1134193006","Los Banos Dialysis","3"
"1144878125","Texas Institute for Clinically Complex Care","3"
"1154415982","University Dialysis Center","3"
"1154702181","Gibson Area Medical Clinic","3"
"1255588281","Hancock","3"
"1265689293","St. James","3"
"1295700219","Selma Dialysis","3"
"1336705292","Life Launch Centers of South Salt Lake","3"
"1346771029","STRIDE PROSTHETICS","3"
"1356818066","Life Launch Centers of Nevada","3"
"1356884993","Family Health Care of Cissna Park","3"
"1396992608","Tessland","3"
"1417104738","Childs","3"
"1417505496","WINDSOR HOSPICE AND PALLIATIVE CARE SERVICES","3"
"1437707403","Mann Eye Institute","3"
"1497279483","My NP House Calls","3"
"1528032505","Hanford Dialysis","3"
"1528616596","Scripts Pharmacy","3"
"1548236268","Tracy Dialysis","3"
"1548827637","Houston PremierSurgery Center the Villages","3"
"1598313553","Community Medical Assoc of B.C.H.","3"
"1598313553","Boulder Heart Longmont","5"
"1619124641","Linwood","3"
"1669818480","FMCH Liberty Clinic","3"
"1699922138","Family Healthcare of Gibson City","3"
"1700323987","Western Reserve Medical Group","3"
"1760030746","Liberty Hill Counseling Center","3"
"1790913903","Family Health Clinic of Farmer City","3"
"1790913903","d/b/a Family Health Clinic of Farmer City","3"
"1821646894","Senior Care Pharmacy of South Alabama","3"
"1841390747","Gibson City Clinic","3"
"1841613981","Choice Specialty Pharmacy 11","3"
"1851538961","Amedisys Hospice","3"
"1871771931","PRO-ACT","3"
"1881676005","Family Healthcare of Hoopeston","3"
"1942457262","Whitney","3"
"1972509701","The Onarga Clinic","3"
"1982851911","Old Egypt Central","3"
"1992700595","The Paxton Clinic","3"
"1073079455","Ascension St Francis Hospital-Reiman Cancer Center","5"
"1124465323","Ascension St Francis Hospital","3"
"1225087190","Ascension St Francis Hospital","3"
"1225182959","DENSO Family Pharmacy #16487","3"
"1346892460","BBI Colorado","5"
"1396393385","Focal Point Eyecare","3"
"1427007384","Ascension SE Wisconsin Hospital-St Joseph Campus","3"
"1437260528","Jackson County Ambulance Service","3"
"1437344884","Antelope Valley Health Center","3"
"1437627031","OSU-AJ WARREN CLINIC PEDIATRIC ORTHOPEDIC SURGERY","3"
"1467910547","MEDCURE PHARMACY","3"
"1477509420","East Baton Rouge Dialysis","3"
"1497316970","College Steps","3"
