"NPI","Provider Secondary Practice Location Address- Address Line 1","Provider Secondary Practice Location Address-  Address Line 2","Provider Secondary Practice Location Address - City Name","Provider Secondary Practice Location Address - State Name","Provider Secondary Practice Location Address - Postal Code","Provider Secondary Practice Location Address - Country Code (If outside U.S.)","Provider Secondary Practice Location Address - Telephone Number","Provider Secondary Practice Location Address - Telephone Extension","Provider Practice Location Address - Fax Number"
"1457823486","16301 Sonoma Park Dr","","Edmond","OK","730132091","US","4054220720","",""
"1811354319","10 Via Vinca","","Santa Cruz","CA","950601053","US","8313345315","",""
"1902361587","9150 Glenwood St","","Overland Park","KS","662121364","US","9133851999","",""
"1508322728","2324 Concord Lake Rd","","Concord","NC","280252814","US","7049181343","",""
"1508322728","4401 Old Airport Rd","","Concord","NC","280257188","US","7042606281","",""
"1508322728","112 N Central Ave","","Landis","NC","280881445","US","7047410456","",""
"1134492044","1260 Pin Oak Rd","Ste 108","Katy","TX","774946850","US","2813955599","","2813955615"
"1548762685","6424 E Greenway Pkwy Ste 100","","Scottsdale","AZ","852542045","US","4802561079","",""
"1053813808","103 Lewis St","","Fort Walton Beach","FL","325473142","US","8508037377","",""
"1164546925","906 Dorman St","","Santa Ana","CA","927012523","US","7144863691","",""
"1033678222","2259A W Hillsboro Blvd","","Deerfield Beach","FL","334421106","US","9547254160","",""
"1194067348","1740 W Taylor St","","Chicago","IL","606127232","US","8666002273","",""
"1962745927","200 Lothrop St","Suite N-715","Pittsburgh","PA","152132536","US","4126924700","",""
"1275951568","1 Veterans Dr","","Minneapolis","MN","554172309","US","6124673180","",""
"1578981544","200 Lothrop St","Suite N-715","Pittsburgh","PA","152132536","US","4126924700","",""
"1578981544","251 E Huron St Ste 3-150","","Chicago","IL","606112908","US","(312) 926-4118","",""
"1649495896","301 W Poplar St","","Walla Walla","WA","993622859","US","5095221030","",""
"1609220755","633A Frederick St","","San Francisco","CA","941172709","US","6148321753","",""
"1609220755","1619 W Main St","","Newark","OH","430551345","US","7405221133","",""
"1124243837","103 Terry Pkwy Ste B","","Terrytown","LA","700562522","US","5043522997","",""
"1396132767","1 Baylor Plz # Bcm320","","Houston","TX","770303411","US","7137032058","",""
"1396132767","1120 E Ridge Rd Ste 100","","McAllen","TX","785035492","US","9566881240","","9566881350"
"1427270693","398 Freeman St","","Longwood","FL","327504171","US","4076823600","","4076827400"
"1902283500","330 W 38th St Rm 1201","","New York","NY","100188672","US","6465808896","",""
"1336584226","181 W Meadow Dr Ste 400","","Vail","CO","81657","US","9704761100","",""
"1336704949","116 Mile Common Rd","","Easton","CT","066121506","US","2035263215","",""
"1144512872","6900 Farmingdale Dr","","Charlotte","NC","282125551","US","7045366853","","7044454582"
"1407383995","4650 W Sunset Blvd # 53","","Los Angeles","CA","900276062","US","(323) 361-3849","",""
"1407383995","8135 Painter Ave Ste 200","","Whittier","CA","906023168","US","5626986600","",""
"1144632266","200 W Arbor Dr","MC 8220","San Diego","CA","921039000","US","6195436711","","6195435869"
"1467831107","789 Howard Ave","YNHH PCC York St. Campus","New Haven","CT","06519","US","2036888300","",""
"1013278787","402 Dickinson St # 1140","UCSD Division of Neonatology","San Diego","CA","921036902","US","6195433812","",""
"1124510698","30 Prospect Ave","","Hackensack","NJ","07601","US","5519962000","",""
"1346620556","3401 N Broad St","","Philadelphia","PA","191405103","US","2157075734","",""
"1598276644","6349 U.S. Highway 550","","Cuba","NM","87013","US","5752893291","",""
"1982264750","395 Amwell Rd","","Hillsborough","NJ","088441259","US","9732620986","",""
"1225418023","55 Fruit St","","Boston","MA","021142621","US","6177263030","",""
"1093377731","3803 N Lincoln Ave","","Chicago","IL","606133519","US","7086287771","",""
"1174015093","2040 6th Ave Ste C","","Neptune City","NJ","077536114","US","7328073600","","7328073596"
"1205039997","2014 Washington St","","Newton","MA","02462","US","5087850480","",""
"1134356686","3080 W 3rd St","","Elk City","OK","736444323","US","5802255136","",""
"1952750911","15245 Shady Grove Rd","North Lobby, Suite 110","Rockville","MD","208503222","US","3012083210","17","3012086686"
"1184062077","2500 E Foothill Blvd Ste 300","","Pasadena","CA","911077102","US","6265641613","118",""
"1184062077","1000 W Carson St","","Torrance","CA","905022004","US","3102223151","",""
"1184062077","1001 Potrero Ave","","San Francisco","CA","94110","US","4152065270","","4152064722"
"1396275756","333 Corporate Dr Ste 120","","Ladera Ranch","CA","926942113","US","9492182020","","9494297727"
"1376064311","6424 E Greenway Pkwy STE 100","","Scottsdale","AZ","85254","US","4802561079","",""
"1245613843","2819 Crow Canyon Rd Ste 205","","San Ramon","CA","945831656","US","9252649810","",""
"1245613843","39207 Sundale Dr","","Fremont","CA","945381916","US","5106511312","",""
"1194177048","8560 Anchor Bay","","Ypsilanti","MI","481975706","US","7879558110","",""
"1194177048","5783 Crowntree Ln Apt 201","","Orlando","FL","328298063","US","7879558110","",""
"1194177048","5575 S Semoran Blvd Ste 7","","Orlando","FL","328221781","US","3214005254","",""
"1578115226","519 W 189th St","","New York","NY","100404647","US","2129946060","","2129946065"
"1306092911","1111 Broadway","","Chula Vista","CA","919112780","US","6194258172","",""
"1740838887","6166 Fuller Ct","","Alexandria","VA","223102540","US","7037196908","",""
"1801444922","66 Hastings St Apt 105","","Wellesley Hills","MA","024815463","US","6174158012","",""
"1649726324","3391 Richmond Ave","","Staten Island","NY","103122025","US","7186089170","","7186089179"
"1083716955","1030 Medical Dr Ste A","","Brigham City","UT","843023276","US","8018729100","","8018279110"
"1083716955","434 E 5350 S Ste D","","Ogden","UT","844055417","US","8018279100","","8018279110"
"1083716955","96 E Kimballs Ln Ste 304","","Draper","UT","840205021","US","8012326556","","8015467450"
"1710535828","750 Morphy Ave","","Fairhope","AL","365321812","US","2519282375","",""
"1679121792","1661 S Trenton Ct","","Denver","CO","802315686","US","3037555510","","3035006189"
"1588212609","2815 Crestwood Ln","","Kilgore","TX","756622903","US","3185607804","",""
"1093363129","1508 Banyan Dr","","Fort Collins","CO","805214098","US","9709806261","",""
"1063060192","1221 W Campbell Rd Ste 105","","Richardson","TX","750802900","US","2145302324","",""
"1063060192","13720 Midway Rd Ste 106","","Dallas","TX","752443416","US","2149497774","",""
"1679121701","2237 Ellis Ave","","Bronx","NY","104625105","US","9293057078","",""
"1871141911","950 Northgate Dr Ste 209","","San Rafael","CA","949033433","US","4154615500","",""
"1871141911","685 Market St","","San Francisco","CA","941054200","US","4158960680","",""
"1861040909","11633 E Gemstone Ln Apt 22","","Wichita","KS","672264610","US","9562225192","",""
"1861040909","11633 E Gemstone Ln Apt 22","","Wichita","KS","672264610","US","","",""
"1629479902","417 Liberty St","","Springfield","MA","011043736","US","4137363668","","4137318651"
"1629479902","974 Spa Rd Apt 103","","Annapolis","MD","214035906","US","2028392782","",""
"1629479902","916 Central St","","Annapolis","MD","21401","US","4108036651","","4107937929"
"1629479902","1835 Forest Dr","Suite D4","Annapolis","MD","21401","US","4108036651","","4107937929"
"1356869929","21 Grand St","","Hartford","CT","061061541","US","8605507500","",""
"1710461033","2486 Alfa Cir","","Las Vegas","NV","891422506","US","7027224849","",""
"1144312521","205 Hospital Dr","Suite A","Mc Kenzie","TN","382011649","US","7313527907","","7313524459"
"1093224818","74 E Kimballs Ln Ste 230A","","Draper","UT","840205004","US","8012014338","","8015467450"
"1699250530","10421 S Figueroa St","","Los Angeles","CA","900034423","US","7472724552","",""
"1598849580","269 Union St","","Lynn","MA","01901","US","7815813900","","7815988136"
"1508316076","1055 Cornell Rd","","Ypsilanti","MI","481971657","US","6464833583","",""
"1770988818","16501 Walnut St","","Hesperia","CA","923453641","US","7609491200","",""
"1770988818","101 E Redlands Blvd Ste 215","","Redlands","CA","923734724","US","9097931078","280",""
"1902085293","1200 High Ridge Rd Ste 3","","Stamford","CT","06905","US","9173659414","",""
"1326552761","820 N Chelan Ave","","Wenatchee","WA","988012028","US","5096638711","",""
"1326552761","820 N Chelan Ave","","Wenatchee","WA","98801","US","5096638711","",""
"1326552761","820 N Chelan Ave","","Wenatchee","WA","98801","US","5096638711","",""
"1669456976","70 Parsonage Rd","","Greenwich","CT","068303941","US","2034239416","",""
"1366840274","10501 Meridian Ave N","Suite D","Seattle","WA","981339509","US","2064519405","",""
"1366840274","2366 Eastlake Ave E Ste 232","","Seattle","WA","981026500","US","2064519405","",""
"1235645870","2502 S Ashland Ave","","Green Bay","WI","543045252","US","9202721586","",""
"1235645870","1300 E Green Bay St","","Shawano","WI","541662210","US","9202721586","",""
"1740655984","1140 Court Dr","Apartment L","Duluth","GA","300968281","US","6783879331","",""
"1790173490","124 Long Pond Rd Ste 11","","Plymouth","MA","023602664","US","5083621221","","5083625858"
"1699131854","1800 Mercy Dr","","Orlando","FL","328085646","US","4077327957","","4077327925"
"1699131854","65 E Main St","","Apopka","FL","327035255","US","4073904558","",""
"1477823151","4630 W Jefferson Blvd Ste 11A","","Fort Wayne","IN","468046800","US","2604341606","","2604341606"
"1063743391","300 S Rath Ave","Suite 102","Ludington","MI","494313003","US","2318434333","",""
"1821236696","1104 E Grace St","","Rensselaer","IN","479783211","US","2198665141","",""
"1437122868","955 Yonkers Avenue","Suite 100","Yonkers","NY","107043060","US","9142374720","","9144623295"
"1437122868","3623 J Dewey Gray Cir Ste 202","","Augusta","GA","309096554","US","7068638155","","7068638175"
"1689709503","107 S Main St","","Ottawa","KS","660672327","US","9136482266","","8553488430"
"1699097253","400 N Broome St","Suite 301","Waxhaw","NC","281737032","US","7042560305","",""
"1417223223","6701 Fannin St","","Houston","TX","77030","US","8328241000","",""
"1093058059","5323 Harry Hines Blvd","","Dallas","TX","753907201","US","2146483111","",""
"1093058059","100 Stein Plz","","Los Angeles","CA","900957201","US","3108253090","","3108250441"
"1639412612","4502 E 41st St","","Tulsa","OK","741352536","US","9186194400","",""
"1346583200","2331 Franklin Rd SW","","Roanoke","VA","24014","US","5405106200","","5408575306"
"1346583200","2331 Franklin Rd SW","","Roanoke","VA","24014","US","5405106200","","5408575306"
"1437577236","1611 NW 12th Ave","","Miami","FL","331361005","US","3055851315","",""
"1871859728","225 Summit Ave","","Montvale","NJ","076451523","US","6464224683","",""
"1326338534","401 E Chestnut St","Suite 510","Louisville","KY","402025700","US","5025890802","","5025890805"
"1184981086","11801 South Fwy","","Burleson","TX","760287021","US","8172939110","",""
"1184981086","1304 Katelyn Ct","","Irving","TX","750605779","US","9739861235","",""
"1184981086","4330 Vance Jackson Rd","","San Antonio","TX","782305321","US","2105793800","",""
"1639599632","2700 Reid Blvd","","Pearland","TX","775818778","US","2817849223","","2817151802"
"1639599632","2201 W HOLCOMBE BLVD","STE 330","HOUSTON","TX","770302030","US","2817849223","","2817151802"
"1477879229","4665 S Congress Ave Ste 100","","Palm Springs","FL","334614754","US","5615005347","","5612645347"
"1477879229","5051 S Congress Ave Ste B","","Lake Worth","FL","334614704","US","5615005347","","5612645347"
"1366616419","1807 Smith St","","Logansport","IN","469471576","US","5747321414","324","5747320504"
"1700206190","4582 Manhattan College Pkwy","Apt 4A","Bronx","NY","104714017","US","3474957772","",""
"1972923225","10122 E 10th St Ste 230","","Indianapolis","IN","462292664","US","3173557356","",""
"1063822104","205 SE Spokane St Ste 300","","Portland","OR","972026487","US","5037148987","","7200598044"
"1063822104","8060 SW Pfaffle St Ste 102","","Tigard","OR","972238489","US","5037148987","","7205980440"
"1093241580","3268 Hospital Dr Ste B","","Juneau","AK","99801","US","9075861717","",""
"1922211556","1603 Stevens Ave","","Louisville","KY","40205","US","5024515955","","5024515925"
"1831366954","800 Scott and White Dr","","College Station","TX","77845","US","9792074000","",""
"1306896360","833 Princeton Ave SW Ste 200A","","Birmingham","AL","352111321","US","2057862776","",""
"1639580509","500 York Rd","Suite 108","Jenkintown","PA","19046","US","2154812725","","2154813013"
"1639580509","500 York Rd","Suite 108","Jenkintown","PA","19046","US","2154812725","","2154813013"
"1467019448","6565 Fannin Street","Smith Tower 10th floor","Houston","TX","77030","US","2818278290","",""
"1497702534","730 W Market St","","Lima","OH","45801","US","4192264310","","4192264315"
"1689968190","2360 SW Archer Rd Apt 604","","Gainesville","FL","326081016","US","3522384402","",""
"1932140381","441 Penbrooke Dr","#7","Penfield","NY","145262046","US","5853859775","","5853855591"
"1609369784","16414 Southpark Dr","","Westfield","IN","460748396","US","3175845166","","3178153861"
"1881008530","1501 N Campbell Ave","","Tucson","AZ","857240001","US","5206940111","",""
"1013113307","8421 Lyndale Ave S","","Bloomington","MN","554202235","US","9523468625","",""
"1033560941","1300 Franklin Ave","Suite 110","Normal","IL","617613592","US","3092683502","",""
"1952821761","615 E Crosstown Pkwy","","Kalamazoo","MI","49001","US","2695538045","",""
"1588004287","200 Patewood Dr Ste B350","","Greenville","SC","296156337","US","8644544500","","8644544505"
"1760833107","1415 Woodland Ave","Suite 140","Des Moines","IA","503093203","US","5152416636","",""
"1407341845","12740 Bandera Rd Ste 200","","Helotes","TX","780234328","US","0000000000","","0000000000"
"1407341845","21600 Oxnard St Ste 1800","","Woodland Hills","CA","913677807","US","8183452345","",""
"1407341845","21600 Oxnard St Ste 1800","","Woodland Hills","CA","913677807","US","0000000000","0000","0000000000"
"1417185455","9500 Euclid Ave","","Cleveland","OH","441950001","US","2164442200","",""
"1861426405","7930 N Shadeland Ave","","Indianapolis","IN","462502691","US","3176216725","","3176214545"
"1629522172","7703 Floyd Curl Drive MC- 7795","","San Antonio","TX","782293900","US","2103583931","",""
"1508179706","5411 Thornwood Dr","","San Jose","CA","951231215","US","4083609312","","4083609314"
"1619976792","3800 Reservoir Rd NW","","Washington","DC","200072113","US","2024444954","",""
"1881972784","10122 E 10th St Ste 230","","Indianapolis","IN","462292664","US","3173557356","",""
"1235143512","10122 E 10th St Ste 230","","Indianapolis","IN","462292664","US","3173557356","",""
"1376551481","4200 W Memorial Rd","Ste 703","Oklahoma City","OK","731209350","US","4057551080","","4057518923"
"1376551481","700 NE 13th St","","Oklahoma City","OK","731045004","US","4052714700","",""
"1851700991","4112 N Josey Ln Ste 112","","Carrollton","TX","750071516","US","9729395367","",""
"1851700991","4112 N Josey Ln Ste 112","","Carrollton","TX","750071516","US","9729395367","",""
"1851700991","4112 N Josey Ln Ste 112","","Carrollton","TX","750071516","US","9729395367","",""
"1184971913","1720 E 120th St","Psychiatry 2nd Floor","Los Angeles","CA","900593052","US","4243382481","",""
